function_word,moliere_medecinmalgrelui.txt,moliere_monsieurpourceaugnac.txt,moliere_sicilien.txt,moliere_jalousiedubarbouille.txt,moliere_medecinvolant.txt,moliere_depitamoureux.txt,moliere_amantsmagnifiques.txt,moliere_impromptuversailles.txt,moliere_precieusesridicules.txt,moliere_mariageforce.txt,moliere_festindepierre.txt,moliere_tartuffe.txt,moliere_critiqueecoledesfemmes.txt,moliere_misanthrope.txt,moliere_princessedelide.txt,"moliere,amants-magnifiques-livret.txt",moliere_amourmedecin.txt,moliere_georgedandin.txt,moliere_sganarelle.txt,moliere_etourdi.txt,"moliere,bourgeois-gentilhomme-livret.txt","moliere,psyche-livret.txt",moliere_amphitryon.txt,moliere_comtesseescarbagnas.txt,moliere_avare.txt,moliere_fourberiesdescapin.txt,moliere_ecoledesfemmes.txt,moliere_maladeimaginaire.txt,moliere_domgarciedenavarre.txt,moliere_ecoledesmaris.txt,moliere_facheux.txt,moliere_melicerte.txt,"moliere,malade-imaginaire-1682.txt",moliere_femmessavantes.txt,moliere_bourgeoisgentilhomme.txt,moliere_psyche.txt,"moliere,dom-juan-1682.txt"
êtes,20,19,9,3,2,11,21,15,14,14,30,24,17,21,13,3,6,15,5,21,0,2,13,7,27,12,25,30,6,9,3,2,39,9,35,13,26
contre,1,6,5,0,1,14,8,9,6,5,9,20,12,39,8,2,5,10,10,16,0,6,11,2,5,10,14,12,22,4,9,2,16,12,5,9,11
chez,1,11,5,3,7,8,2,0,4,3,3,18,2,21,3,1,4,13,7,14,1,0,17,2,15,9,21,4,2,20,4,2,3,23,14,0,3
cela,40,48,23,12,7,23,36,34,23,36,44,30,31,31,20,1,18,49,15,20,4,0,17,27,98,51,36,77,3,21,6,9,83,26,120,3,40
quelle,4,15,3,5,2,8,15,4,9,5,14,7,3,5,9,4,4,5,6,12,3,3,14,5,19,11,9,19,8,3,2,2,16,14,15,6,12
car,5,7,3,3,5,16,3,8,5,6,8,6,12,4,10,0,6,6,2,8,0,0,1,4,13,5,17,3,7,9,8,0,8,3,4,1,8
ni,0,0,0,0,1,15,9,12,5,2,14,7,6,11,4,1,2,5,4,4,1,0,6,0,12,9,11,8,5,5,7,2,8,4,7,12,14
tel,2,6,1,0,1,16,1,1,8,0,5,12,0,13,8,0,0,1,7,8,0,0,4,2,3,1,4,4,7,7,4,1,5,7,1,5,5
jusqu',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jusqu,4,0,2,0,0,9,5,3,8,3,4,17,2,8,6,0,2,2,3,7,0,3,9,0,0,12,9,2,7,0,2,0,7,4,7,11,4
voilà,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0
puisque,5,2,2,4,1,9,9,4,1,4,2,9,6,17,6,1,2,6,15,6,0,0,3,2,8,3,4,14,14,5,6,5,17,5,7,3,3
déjà,3,9,2,1,0,5,1,2,0,2,4,8,1,3,4,0,3,2,5,13,0,0,6,1,2,5,5,6,6,4,5,4,5,4,6,3,4
ait,7,7,0,0,0,6,4,3,2,4,10,18,8,10,4,0,3,8,9,8,1,0,13,3,8,7,11,6,19,11,7,2,5,17,6,4,10
sous,2,3,4,0,1,11,4,2,1,0,6,14,0,7,5,3,0,0,5,15,4,3,13,2,9,3,9,6,14,6,5,2,6,4,8,15,5
autant,4,4,1,0,0,4,0,1,3,2,7,7,3,10,3,0,2,1,8,6,1,0,7,1,6,1,11,4,4,1,2,2,4,3,6,10,7
pourquoi,8,3,2,0,2,6,3,5,1,0,10,13,3,10,6,1,3,3,9,6,0,2,9,2,4,10,15,12,2,5,0,4,8,7,3,2,10
depuis,3,6,3,1,2,11,3,3,2,2,9,6,4,5,0,0,3,2,6,8,1,0,4,1,9,5,9,10,3,8,1,0,9,3,6,4,7
avait,4,4,0,1,1,4,4,2,0,0,7,3,4,12,24,0,2,3,18,17,1,2,5,3,5,16,8,8,9,1,7,2,7,0,3,4,7
serait,3,4,3,14,1,6,5,6,3,0,11,7,7,5,4,0,2,2,8,6,1,2,4,1,10,4,7,9,4,1,4,4,7,4,5,7,12
